UFrag_no,UniqueFrags,C=C_count,Carbonyls,CN_single,MolWt,MethylatedSmiles,Methylated_img
133,O=C1C=CC(=NC(=O)C)C=C1,2,2,1,149.0476785,CC(=O)N=C1C=CC(=O)C=C1,
134,O=C1C(=CC(=NO)C=C1C)C,2,1,0,151.0633285,CON=C1C=C(C)C(=O)C(C)=C1,
135,CC(=O)C(C)=CC(C)=C(C)C,2,1,0,152.1201151,CC(=O)C(C)=CC(C)=C(C)C,
136,CC(=O)C=C(C)C(C)=C(C)C,2,1,0,152.1201151,CC(=O)C=C(C)C(C)=C(C)C,
137,CC=C(C)CC(C)=CC(C)=O,2,1,0,152.1201151,CC=C(C)CC(C)=CC(C)=O,
138,CC1=CC(=O)C(=CN)C(=O)O1,2,2,1,153.0425931,CC1=CC(=O)C(=CN(C)C)C(=O)O1,
139,O=C(OC(=O)C=CC)C=CC,2,2,0,154.0629942,CC=CC(=O)OC(=O)C=CC,
140,O=C(OC(=O)C(=C)C)C(=C)C,2,2,0,154.0629942,C=C(C)C(=O)OC(=O)C(=C)C,
141,CC=CC(C=O)=C(C)B(O)O,2,1,0,154.0801246,CC=CC(C=O)=C(C)B(OC)OC,
142,CC=C(C)C=C(C)OC(C)=O,2,1,0,154.0993797,CC=C(C)C=C(C)OC(C)=O,
143,CC(=O)CC(C)=C(C)C(C)=O,1,2,0,154.0993797,CC(=O)CC(C)=C(C)C(C)=O,
144,CC=CC=CC(=O)OC(=O)O,2,2,0,156.0422587,CC=CC=CC(=O)OC(=O)OC,
145,CC(O)=CC(C)=C(C)C(=O)O,2,1,0,156.0786442,COC(=O)C(C)=C(C)C=C(C)OC,
146,O=C(O)C(=CC=CO)C(=O)O,2,2,0,158.0215233,COC=CC=C(C(=O)OC)C(=O)OC,
147,CC(C(=O)O)=C(O)CC(=O)O,1,2,0,160.0371734,COC(=O)CC(OC)=C(C)C(=O)OC,
148,O1B(OB(OB1C=C)C=C)C=C,3,0,0,162.0830853,C=CB1OB(C=C)OB(C=C)O1,
149,O=CC(=CC=CC=C(C=O)C)C,3,2,0,164.0837296,CC(C=O)=CC=CC=C(C)C=O,
150,CC=CC(C)=C1OC(=O)C=C1C,3,1,0,164.0837296,CC=CC(C)=C1OC(=O)C=C1C,
151,CC=CC(=O)C(C)=C(C)C=CC,3,1,0,164.1201151,CC=CC(=O)C(C)=C(C)C=CC,
152,C=CC=CCC(C(C)=O)=C(C)C,3,1,0,164.1201151,C=CC=CCC(C(C)=O)=C(C)C,
153,CC=CC=C(C)C(C)=CC(C)=O,3,1,0,164.1201151,CC=CC=C(C)C(C)=CC(C)=O,
154,CC(C)=C(C)C(=O)C(C)=C(C)C,2,1,0,166.1357652,CC(C)=C(C)C(=O)C(C)=C(C)C,
155,CC(=O)C=C1OC(=O)C(O)=C1C,2,2,0,168.0422587,COC1=C(C)C(=CC(C)=O)OC1=O,
156,O=C(O)C(=CC=C(C(=O)O)C)C,2,2,0,170.0579088,COC(=O)C(C)=CC=C(C)C(=O)OC,
157,CC=CC(C)=C(C)C(C)=CC(C)=O,3,1,0,178.1357652,CC=CC(C)=C(C)C(C)=CC(C)=O,
158,O=C(OC(=O)C(=CC)C)C(=CC)C,2,2,0,182.0942943,CC=C(C)C(=O)OC(=O)C(C)=CC,
159,O=C(OC(=O)C=C(C)C)C=C(C)C,2,2,0,182.0942943,CC(C)=CC(=O)OC(=O)C=C(C)C,
160,CC=C(C)C(=O)OC(=O)C(C)=CC,2,2,0,182.0942943,CC=C(C)C(=O)OC(=O)C(C)=CC,
161,CC=C(C)C(C)=CC=C(C)OC(C)=O,3,1,0,194.1306798,CC=C(C)C(C)=CC=C(C)OC(C)=O,
162,O=C(OC(=N)OC(=O)C(=C)C)C(=C)C,2,2,0,197.0688078,C=C(C)C(=O)OC(=NC)OC(=O)C(=C)C,
163,O=C(C(C(C(=O)C)=C(O)C)=C(O)C)C,2,2,0,198.0892089,COC(C)=C(C(C)=O)C(C(C)=O)=C(C)OC,
164,S1C=CSC1=C2SC=CS2,3,0,0,203.9195841,C1=CSC(=C2SC=CS2)S1,
165,O=C(O)C(C(=O)O)=C1SC=CS1,2,2,0,203.9551006,COC(=O)C(C(=O)OC)=C1SC=CS1,
166,O=C1C(=O)C(=C(O)O)SC1=C(O)O,2,2,0,203.9728588,COC(OC)=C1SC(=C(OC)OC)C(=O)C1=O,
167,CC1=C(C(=O)O)C(=C[SiH3])C(C)=C1C(=O)O,3,2,0,224.0504854,COC(=O)C1=C(C)C(C(=O)OC)=C(C)C1=C[Si](C)(C)C,
168,SC1=C(S)SC(=C2SC(S)=C(S)S2)S1,3,0,0,331.8078681,CSC1=C(SC)SC(=C2SC(SC)=C(SC)S2)S1,
